Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,1810.70643,1877.70706,1854.74615,1967.21127,2131.3803,2281.11031,2343.91592,2580.11059,2724.13067,2991.47728,3304.92737,3495.2282,3949.46164,4770.81017,6482.93848,7003.84247,7486.6826,7775.65847,8252.73446,9294.51578,10208.8037,11853.6694,12779.1459,11515.7445,12421.8808,11441.582,11392.0044,11651.3301,14284.9608,17834.4527,18249.3015,18859.9075,18624.1877,17699.8765,18129.6353,20448.122,22021.7839,23646.623,21479.1142,20712.6698,21870.416,19695.7297,20301.8432,23718.1339,30836.7307,34479.7679,36595.7072,41051.6121,49701.2818,42816.5674,52144.6655,62605.6005,68072.8732,68190.701,62544.0874,56739.0265,49888.0411,53901.7145,57196.4221,54972.7018,51791.5402,60607.7789,64997.0137,64835.92,64407.4843
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,939.914815,1036.7282,1093.01419,1172.55745,1275.45715,1381.07726,1494.04911,1577.14148,1685.66212,1834.07808,2050.70515,2371.65248,2912.59577,3875.48306,4612.61921,5264.91772,5656.14514,6783.95142,8173.32926,9755.40446,10826.9718,9348.48832,9373.48821,9500.0507,8955.84829,9136.17093,13031.8281,16328.5613,17509.7659,17400.5227,21596.0682,22323.1312,24782.7119,23987.2037,25546.2461,30207.0674,29645.9451,26571.7524,27212.4643,27078.7082,24487.2975,24430.496,26334.8622,32110.116,36614.2507,38157.3702,40382.2078,46622.9623,51581.3982,47857.4447,46611.1393,51116.8954,48250.4059,50305.3546,51314.9723,43915.228,45061.4994,47163.7426,51194.075,49885.9947,48716.4099,53648.7191,52176.6649,56033.5738,56833.196
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1238.27189,734.944233,60.2351205,209.530955,157.06355,314.558019,409.185544,505.516204,561.906808,573.893529,655.09725,703.670999,763.108895,883.692581,1045.01363,1578.36733,2472.95726,3851.33015,5574.4681,4950.39949,5843.53377,7189.81869,7495.86528,7875.34537,7890.84028,5500.50365,3880.68523,4147.19814,4739.79431,4805.75372,4229.91065,5408.04535,7770.59422,7133.02838,7283.83563
Burundi,BDI,GDP per capita (current US$),NY.GDP.PCAP.CD,70.9051,71.6019299,73.419598,78.3711983,85.3337287,50.613304,51.4128738,54.0181425,54.1949783,55.0588389,68.754354,69.8982818,68.2321918,84.2581069,93.2240048,110.884827,115.492132,137.448044,148.823233,186.152274,209.805737,212.230332,216.436191,225.209525,200.375712,228.440543,234.281245,215.608311,201.740401,203.578944,202.629446,204.668258,184.86897,165.34412,161.892584,164.915312,143.156741,160.278342,144.456948,127.514196,134.537862,132.159555,120.952309,111.406683,125.194965,147.234619,161.892756,166.162745,189.502075,199.097633,216.727705,230.070577,231.688496,234.843045,250.540481,280.966831,235.286205,236.694473,224.899392,210.236495,210.00814,214.091455,250.634225,192.074305,153.930218
Belgium,BEL,GDP per capita (current US$),NY.GDP.PCAP.CD,1290.28607,1367.78885,1457.26517,1555.02293,1724.01894,1859.50999,1983.1312,2113.82194,2251.31576,2490.10717,2765.891,3082.92799,3831.6319,4900.9622,5733.79814,6701.37736,7243.04734,8426.94696,10289.7684,11810.6159,12864.0026,10622.8025,9343.8611,8846.2343,8457.2688,8750.81851,12170.0407,15135.8523,16391.0938,16525.0617,20600.3753,21041.6607,23372.6192,22283.936,24208.5548,28413.8264,27489.5552,24820.9381,25338.4433,25252.8019,23098.8865,23015.0713,25006.1914,30655.2093,35429.4078,36809.7013,38705.1068,44319.1654,48303.398,44923.34,44197.3937,47760.8299,44874.1709,46964.5947,47995.7787,40893.8045,41854.5498,44035.3239,47487.21,46716.6227,45906.2876,51658.2383,50822.2519,54690.0943,55954.6106
Benin,BEN,GDP per capita (current US$),NY.GDP.PCAP.CD,89.8569247,92.0858481,90.773861,95.716737,99.7850246,105.117987,107.637212,106.586242,111.211494,110.314795,108.848779,106.889293,127.927157,153.609468,164.946594,196.455786,197.726361,207.012962,249.802926,310.651387,358.003054,319.718186,305.004064,255.983602,238.574457,230.434117,285.771551,324.253765,326.179758,293.32195,371.101604,364.689296,301.773297,387.310055,262.129807,348.435239,369.394384,344.550491,361.601983,525.130597,487.424141,492.4015,546.46383,676.002878,758.695804,779.437778,809.147073,912.338247,1060.60255,1024.10278,973.244255,1059.41359,1071.52584,1168.92699,1204.39919,1002.41887,1010.5339,1054.97408,1151.74097,1130.82135,1200.19427,1318.65158,1266.42711,1394.17785,1485.38019
Burkina Faso,BFA,GDP per capita (current US$),NY.GDP.PCAP.CD,69.1502456,72.2423787,77.1529279,78.9087737,80.9147888,82.074616,82.8360665,84.6272011,84.9737848,86.7555396,81.7075632,84.5149376,99.6335815,114.137669,124.671436,152.90153,155.485423,175.963864,223.879112,258.501729,277.597531,248.707974,239.019484,211.925741,187.832224,194.063226,247.459135,280.218092,301.129215,293.188704,338.593759,333.706055,348.592444,324.111577,187.211424,229.092294,242.733171,223.853959,249.531733,292.836959,248.908527,259.485223,285.654088,362.3739,403.812837,441.164148,455.513656,514.684451,619.437533,601.569521,624.957252,725.024768,731.470139,759.762065,764.861675,630.124751,663.742365,709.091536,777.465619,764.853078,825.237039,895.535288,836.118305,882.68981,987.321378
Bangladesh,BGD,GDP per capita (current US$),NY.GDP.PCAP.CD,82.4812774,90.3685786,92.5894212,94.1423743,92.5782978,98.604147,104.422055,114.209882,114.414967,125.880312,130.218161,124.533963,87.7737652,109.691727,164.986394,249.804254,126.693044,117.887771,158.324255,181.130707,206.075714,224.241392,199.595945,184.706773,193.435021,222.22018,212.148994,231.499585,247.901466,263.005721,283.053737,272.064948,273.465073,280.757274,280.603032,309.458681,371.917938,379.284918,385.616882,388.095684,396.67073,394.65641,393.886422,426.748808,455.614017,480.085851,490.388027,537.955493,613.062041,679.211477,757.38528,837.336945,859.680536,958.26299,1094.462,1224.38648,1649.28381,1811.08222,1965.24373,2129.79897,2248.85079,2482.84918,2716.48593,2551.01774,2593.41607
Bulgaria,BGR,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,2238.80296,2234.81482,2169.00401,1852.81343,1963.57268,1914.55065,2260.42728,3132.30136,2511.39306,2477.02082,2366.52982,883.736578,1007.34455,1278.52511,1149.89464,2259.25923,1470.19259,1361.40938,1820.44866,1660.90891,1621.26211,1770.90705,2092.98289,2719.49437,3389.68743,3899.82596,4523.14656,5888.57081,7271.30339,6988.27316,6853.94806,7849.58061,7431.9579,7795.98092,8069.60006,7268.65445,7822.49923,8696.6893,9872.38508,10372.8044,10769.9476,12972.2173,13999.6719,15883.8619,17412.4115
Bahrain,BHR,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,1741.82245,1829.74071,2205.917,2981.09253,3873.71629,3880.44047,5310.19133,6358.42084,6925.98893,7890.82982,9732.72587,10556.5092,10712.1529,10598.8427,10696.9331,9648.65643,7776.95658,8332.91425,8771.78535,8833.41134,9342.53891,10434.1324,10460.1583,11151.8715,11629.3595,11900.9318,12091.7802,12254.6663,11625.0344,12123.3535,14214.4837,13573.234,13501.4709,14486.0269,15963.9493,17966.1658,19267.2826,20908.4043,23299.4993,19465.3141,21819.3291,25032.7868,26438.6733,26989.7601,26451.7966,23734.0551,23800.0014,24784.7694,26324.4067,27259.7439,24342.8445,27147.8084,30470.5219,29290.1284,30048.2178
"Bahamas, The",BHS,GDP per capita (current US$),NY.GDP.PCAP.CD,1459.25382,1555.04661,1651.21862,1759.23692,1883.44386,2029.52341,2239.23964,2452.74763,2668.01498,3026.72757,2916.49998,3004.34357,3013.95017,3341.28522,3079.74014,2840.58965,2993.45924,3253.37543,3720.04058,4994.08535,5742.58363,6028.80641,6559.46869,7081.38195,8201.70134,9167.14688,9600.59953,10361.3488,10575.7972,11291.4764,11473.3008,11082.3529,10873.4048,10613.0659,10991.2347,11374.6057,11783.7972,20367.5733,21667.4488,24041.0933,24940.0775,25371.9238,26781.6196,26429.1248,26650.2934,28602.4182,29184.7865,30051.849,29392.3824,27512.9131,27473.1004,27090.8377,28552.0243,27642.742,29137.2176,30719.4054,30616.5363,31875.4882,32642.3353,33640.337,26178.7538,30367.8606,34957.1613,38231.7745,39455.4467
Bosnia and Herzegovina,BIH,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1742.88262,1373.37104,1118.1757,929.872119,337.090896,502.365981,718.933797,913.813399,1006.7048,1134.60298,1338.4806,1387.89365,1606.54672,2033.94701,2452.68617,2739.61077,3166.12865,3931.48949,4841.69312,4539.91864,4506.47829,4982.69376,4693.78899,5034.56616,5206.06558,4662.25884,4928.56653,5345.01985,6047.84584,6122.37535,6130.31133,7295.34382,7655.59421,8663.02323,8957.37294
Belarus,BLR,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1706.64092,1805.45593,1658.08641,1589.51011,1460.00791,1370.69991,1452.5071,1396.65719,1511.25979,1210.58744,1276.28038,1244.37319,1479.38066,1819.52653,2378.337,3126.07177,3848.2235,4735.48108,6376.17569,5352.48809,6034.67885,6527.65934,6953.21592,7998.0802,8341.31809,5967.05595,5039.77561,5785.54492,6360.0375,6837.7734,6542.8558,7489.71895,7994.64806,7896.75388,8316.64776
Belize,BLZ,GDP per capita (current US$),NY.GDP.PCAP.CD,307.414508,320.029477,331.704794,341.932584,356.235408,383.186435,411.93302,426.264071,392.282566,401.557991,441.789469,481.044641,529.356648,618.567502,804.777864,906.486277,729.488781,865.792901,982.60437,1071.4437,1774.4137,1752.51704,1629.32323,1677.25548,1814.1886,1754.01109,1859.10214,2165.89431,2405.81117,2741.93638,2988.64952,3192.36527,3645.61244,3862.71049,3879.01375,4012.07959,4045.69445,4016.62942,4127.93719,4291.83168,4729.6708,4721.81626,4861.74314,4962.08962,5156.09817,5272.74417,5527.16776,5765.282,5713.28127,5401.22963,5451.13897,5582.22171,5709.68919,5950.203,6128.14289,6154.49593,6142.49873,6072.58268,6031.2814,6190.04792,5227.19364,6122.61159,7068.45478,7459.99815,8429.6796
Bermuda,BMU,GDP per capita (current US$),NY.GDP.PCAP.CD,1715.31463,1773.99532,1824.18228,1821.79091,1986.64081,2064.85325,2369.47295,2722.46233,2975.95429,3214.04904,3574.16929,4012.77397,4458.08003,5090.09179,5891.88782,6493.62872,7259.91355,8383.03139,8904.94282,9664.21885,11426.6012,13687.7981,14442.7902,16236.7417,17866.9174,18713.8825,20996.9767,23042.7436,24958.1127,26282.6241,27665.5258,28195.7092,28761.9635,30950.0799,31543.0635,34115.3446,45063.6149,48736.6768,51629.2815,54388.3417,56542.9569,59490.2452,63358.5659,67106.8028,71692.1589,77628.1035,97781.4559,107395.651,110268.562,104711.712,104111.824,99049.017,100213.493,101704.407,100961.577,104855.367,108747.356,112339.426,113204.822,115798.041,106976.546,112765.082,121613.94,132604.439,138934.959
Bolivia,BOL,GDP per capita (current US$),NY.GDP.PCAP.CD,100.815083,107.443478,115.07906,121.353277,133.876179,145.587113,157.754998,174.312743,193.516557,205.054759,219.353189,231.058297,267.894135,257.34186,418.379385,468.298148,519.994688,600.288223,683.142437,801.033734,772.779524,981.381289,930.59301,880.46118,982.08121,838.080052,604.257338,649.708769,672.607173,675.469994,682.67681,733.935488,759.571135,756.637016,774.03567,852.754035,922.113259,970.351843,1022.14507,979.344495,975.77706,930.168227,888.221329,893.01376,953.191893,1020.12326,1202.7115,1354.54906,1692.67248,1731.18172,1929.78373,2315.52122,2575.59857,2870.02377,3041.43503,2996.0129,3035.87348,3306.30301,3500.72642,3503.89601,3099.94219,3384.84486,3643.92827,3686.27996,4001.21134
Brazil,BRA,GDP per capita (current US$),NY.GDP.PCAP.CD,235.26601,231.564063,250.200573,294.169619,257.259727,268.028761,328.343792,351.4726,373.925433,399.498419,443.799485,500.001989,583.492035,814.731781,1044.76981,1200.55824,1389.74952,1562.29143,1732.50012,1869.71338,1958.57159,2079.70908,2137.62504,1461.25583,1419.73155,1556.12972,1854.03775,2006.00226,2140.65028,2818.99278,2581.14187,2257.6093,2127.31643,2348.88248,3298.71251,4756.74841,5179.13052,5299.3963,5105.891,3493.57163,3766.54811,3176.28936,2855.94019,3090.60701,3663.82319,4827.78173,5934.14471,7409.69131,8908.33177,8678.65922,11403.2821,13396.6244,12521.7214,12458.8912,12274.994,8936.19662,8836.28653,10080.5093,9300.66165,9029.83327,7074.19378,7972.53665,9281.33334,10377.5893,10280.3149
Barbados,BRB,GDP per capita (current US$),NY.GDP.PCAP.CD,346.575457,366.135499,377.438456,420.50439,413.625432,433.22868,462.028453,508.128619,505.889066,566.833205,666.475009,749.801351,856.071973,1041.72956,1243.35417,1601.18883,1733.64541,1967.59344,2197.89906,2667.90751,4024.58857,4416.7152,4598.76264,4866.35999,5283.57944,5509.8746,6031.35861,6624.5994,7032.65371,7772.55023,7781.40573,7790.26229,7519.20144,7904.70762,8223.16681,8460.47381,9011.77885,9521.57127,10734.3637,11244.3088,11674.6736,11639.5161,11760.4525,12075.9587,12886.3665,14214.4202,15619.6006,17235.4396,17565.693,16294.9099,18860.3834,19345.9953,19034.0708,19308.0091,19277.9424,18954.2914,19065.807,19692.7607,20055.9159,20583.7266,18347.1109,18696.7859,22164.026,23804.025,25365.7949
Brunei Darussalam,BRN,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,1028.8845,1145.70592,1148.84303,1274.09038,1226.43699,1325.15598,1432.16601,1904.6676,2938.85096,15194.7923,15793.1313,18671.3624,21746.8559,23446.5341,33501.2783,58005.3425,48793.4423,45074.5499,38720.0939,36061.3815,31827.406,18500.5409,21029.719,18824.7637,20090.069,23658.7166,23932.1898,23450.8964,22397.0738,22766.5872,26443.2564,25692.2356,25522.3975,17769.2464,19752.2013,20130.2571,18287.8272,18621.2923,20677.9001,24423.0948,29386.2704,34674.7996,36217.3291,42156.5685,30946.4674,34937.5555,46382.8274,46968.5971,44003.0644,41026.5084,30625.1287,26663.2973,28024.3825,30988.119,30426.573,26834.3592,31006.9636,36632.928,32890.5492,33417.8358
Bhutan,BTN,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,200.34523,207.66656,212.375151,230.90177,262.777366,237.350734,233.721532,249.935358,232.17237,251.378805,296.880511,310.770412,305.824659,328.204017,325.545257,321.186831,364.69457,449.060444,488.877757,461.654619,488.327431,400.634705,415.791523,407.399842,467.008312,530.103677,552.873891,630.44741,638.278962,685.419831,771.924911,812.238211,895.79949,1022.3824,1130.35935,1299.94939,1405.60716,1850.4157,1919.59775,1918.39599,2435.57981,2787.97968,2751.21289,2679.95217,2849.49999,2954.04082,3152.30905,3435.28805,3400.20417,3576.87987,3191.66907,3570.61258,3711.32768,3839.4093,
Botswana,BWA,GDP per capita (current US$),NY.GDP.PCAP.CD,58.9180081,62.3224007,65.9864503,68.8864105,73.4925773,79.6790757,89.0615738,100.945125,113.445717,131.776575,163.031832,212.244207,264.233717,374.189409,446.487855,493.029473,490.469571,564.831748,695.219337,909.207133,1131.63379,1107.0281,1005.62456,1120.53239,1145.02904,993.616748,1199.84678,1638.82669,2140.51439,2427.68262,2903.15382,2938.59443,3004.61263,2929.43119,2917.25514,3156.18195,3156.26866,3194.18106,2981.1964,3339.99596,3450.81181,3206.07124,3117.25087,4230.12327,4956.69288,5391.07077,5291.58379,5529.12575,5503.07395,5082.93388,6215.73216,7287.38295,6595.53845,6666.9122,7122.36423,6141.20395,6749.05994,7104.96401,7407.9594,7172.08956,6323.2975,7807.88795,8328.70906,7826.35376,7695.24206
Central African Republic,CAF,GDP per capita (current US$),NY.GDP.PCAP.CD,65.882963,70.9881259,70.4042293,71.7551876,77.2050398,80.184506,82.3374695,83.5629651,95.6398392,91.6587059,90.1578443,94.0721473,105.468062,121.824846,124.00035,163.644668,192.096991,213.785551,254.624088,289.118938,325.25477,280.343392,298.444545,259.588395,248.313551,332.515358,426.026993,449.95213,466.070597,443.22686,501.656201,464.828284,461.587303,404.954547,261.260397,333.145863,293.306575,265.521282,266.570545,267.995954,239.154134,237.951703,248.639291,278.403992,303.461321,311.950023,333.94252,380.887049,437.248275,456.471674,476.873787,534.057281,544.395849,364.366963,409.850486,366.322854,387.176203,432.324026,455.243963,449.228468,462.879071,492.263143,467.359825,495.978897,516.170425
Canada,CAN,GDP per capita (current US$),NY.GDP.PCAP.CD,2264.9485,2246.08357,2274.42847,2380.31733,2561.63849,2777.18317,3055.28808,3226.38274,3473.23723,3776.15613,4135.8215,4535.39339,5106.73708,5858.33407,7056.70847,7536.5201,8838.94711,8949.10989,9154.43325,10077.5027,11208.2027,12379.0369,12527.3135,13477.1032,13930.4746,14170.1249,14521.1801,16377.6902,19012.5723,20794.6822,21525.8611,21846.793,20950.3305,20186.7989,19997.6237,20679.6348,21296.9724,21901.5629,21024.5851,22315.2467,24271.0021,23822.0962,24256.0192,28301.8646,32145.5413,36383.66,40504.0371,44660.0839,46710.2527,40874.8832,47560.6666,52223.8588,52670.3447,52638.1187,50960.8431,43594.1941,42314.0616,45129.6281,46539.1762,46352.8693,43537.8393,52886.6616,56256.8007,54220.3285,54282.6176
Central Europe and the Baltics,CEB,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2457.17455,2233.29252,2316.71497,2457.01489,2805.59448,3593.18352,3808.56146,3757.40741,4117.9999,3998.01799,3959.62495,4360.96264,4941.34251,5948.84961,7180.27037,8352.50713,9466.74816,11997.3469,14573.7457,12302.093,12635.8167,13997.4415,13104.1036,13712.7336,14208.4595,12596.9475,12874.7407,14339.8581,16245.1939,16551.8489,16595.9353,19239.8185,19548.693,22699.5352,24543.3041
